#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'I','3FF094','WT9 Dynamic','D-MHLG','LG','Y','Y'
'I','3FF112','WT9 Dynamic','D-MFTL','TL','Y','Y'
'I','3FF1E0','Ikarus C42 C','D-MHLA','LA','Y','Y'
'I','3FF1E4','Ultralight','','','Y','Y'
'I','3FF240','WT9 Dynamic','D-MFOW','OW','Y','Y'
'I','3FF35F','UFO','D-MSMA','MA','Y','Y'
'I','3FF384','WT9 Dynamic','D-MNUT','','Y','Y'
'I','3FF3A5','Skylane Airlony','D-MFMO','MO','Y','Y'
'I','3FF497','WT9 Dynamic','D-MXTL','TL','Y','Y'
'I','4004B5','','','','N','N'
'I','4004B6','','','','N','N'
'F','400BD3','Towplane','G-BAVH','VH','Y','Y'
'I','400E8E','Motorplane','G-BYWK','WK','Y','Y'
'I','400E8F','Motorplane','G-BYWL','WL','Y','Y'
'I','400E90','Motorplane','G-BYWM','WM','Y','Y'
'I','400E91','Motorplane','G-BYWN','WN','Y','Y'
'I','400E92','Motorplane','G-BYWO','WO','Y','Y'
'I','400E93','Motorplane','G-BYWP','WP','Y','Y'
'I','400E94','Motorplane','G-BYWR','WR','Y','Y'
'I','400E95','Motorplane','G-BYWS','WS','Y','Y'
'I','400E96','Motorplane','G-BYWT','WT','Y','Y'
'I','400E97','Motorplane','G-BYWU','WU','Y','Y'
'I','400E98','Motorplane','G-BYWV','WV','Y','Y'
'I','400E99','Motorplane','G-BYWW','WW','Y','Y'
'I','400E9B','Motorplane','G-BYWX','WX','Y','Y'
'I','400E9C','Motorplane','G-BYWY','WY','Y','Y'
'I','400E9D','Motorplane','G-BYWZ','WZ','Y','Y'
'I','400E9E','Motorplane','G-BYXA','XA','Y','Y'
'I','400E9F','Motorplane','G-BYXB','XB','Y','Y'
'I','400EA0','Motorplane','G-BYXC','XC','Y','Y'
'I','400EA1','Motorplane','G-BYXD','XD','Y','Y'
'I','400EA2','Motorplane','G-BYXE','XE','Y','Y'
'I','400EA3','Motorplane','G-BYXF','XF','Y','Y'
'I','400EA4','Motorplane','G-BYXG','XG','Y','Y'
'I','400EA5','Motorplane','G-BYXH','XH','Y','Y'
'I','400EA6','Motorplane','G-BYXI','XI','Y','Y'
'I','400EA7','Motorplane','G-BYXJ','XJ','Y','Y'
'I','400EA8','Motorplane','G-BYXK','XK','Y','Y'
'I','400EA9','Motorplane','G-BYXL','XL','Y','Y'
'I','400EAA','Motorplane','G-BYXM','XM','Y','Y'
'I','400EAC','Motorplane','G-BYXO','XO','Y','Y'
'I','400EAD','Motorplane','G-BYXP','XP','Y','Y'
'I','400EAF','Motorplane','G-BYXS','XS','Y','Y'
'I','400EB0','Motorplane','G-BYXT','XT','Y','Y'
'I','400EB1','Motorplane','G-BYXX','XX','Y','Y'
'I','400EB2','Motorplane','G-BYXY','XY','Y','Y'
'I','400EB3','Motorplane','G-BYXZ','XZ','Y','Y'
'I','400EB4','Motorplane','G-BYYA','YA','Y','Y'
'I','400EB5','Motorplane','G-BYYB','YB','Y','Y'
'I','400EB6','Motorplane','G-BYWA','WA','Y','Y'
'I','400EB7','Motorplane','G-BYWB','WB','Y','Y'
'I','400EB8','Motorplane','G-BYWC','WC','Y','Y'
'I','400EB9','Motorplane','G-BYWD','WD','Y','Y'
'I','400EBA','Motorplane','G-BYWE','WE','Y','Y'
'I','400EBB','Motorplane','G-BYWF','WF','Y','Y'
'I','400EBC','Motorplane','G-BYWG','WG','Y','Y'
'I','400EBD','Motorplane','G-BYWH','WH','Y','Y'
'I','400EBE','Motorplane','G-BYWI','WI','Y','Y'
'I','400EBF','Motorplane','G-BYWJ','WJ','Y','Y'
'I','400EC5','Motorplane','G-BYUA','UA','Y','Y'
'I','400EC6','Motorplane','G-BYUB','UB','Y','Y'
'I','400EC7','Motorplane','G-BYUC','UC','Y','Y'
'I','400EC8','Motorplane','G-BYUD','UD','Y','Y'
'I','400EC9','Motorplane','G-BYUE','UE','Y','Y'
'I','400ECA','Motorplane','G-BYUF','UF','Y','Y'
'I','400ECB','Motorplane','G-BYUG','UG','Y','Y'
'I','400ECC','Motorplane','G-BYUH','','Y','Y'
'I','400ECD','Motorplane','G-BYUI','UI','Y','Y'
'I','400ECE','Motorplane','G-BYUJ','UJ','Y','Y'
'I','400ECF','Motorplane','G-BYUK','UK','Y','Y'
'I','400ED0','Motorplane','G-BYUL','UL','Y','Y'
'I','400ED1','Motorplane','G-BYUM','UM','Y','Y'
'I','400ED2','Motorplane','G-BYUN','UN','Y','Y'
'I','400ED3','Motorplane','G-BYUO','UO','Y','Y'
'I','400ED4','Motorplane','G-BYUP','UP','Y','Y'
'I','400ED5','Motorplane','G-BYUR','UR','Y','Y'
'I','400ED6','Motorplane','G-BYUS','US','Y','Y'
'I','400ED8','Motorplane','G-BYUU','UU','Y','Y'
'I','400ED9','Motorplane','G-BYUV','UV','Y','Y'
'I','400EDA','Motorplane','G-BYUW','UW','Y','Y'
'I','400EDB','Motorplane','G-BYUX','UX','Y','Y'
'I','400EDC','Motorplane','G-BYUY','UY','Y','Y'
'I','400EDD','Motorplane','G-BYUZ','UZ','Y','Y'
'I','400EDE','Motorplane','G-BYVA','VA','Y','Y'
'I','400EDF','Motorplane','G-BYVB','VB','Y','Y'
'I','400EE0','Motorplane','G-BYVC','VC','Y','Y'
'I','400EE1','Motorplane','G-BYVD','VD','Y','Y'
'I','400EE2','Motorplane','G-BYVE','VE','Y','Y'
'I','400EE3','Motorplane','G-BYVF','VF','Y','Y'
'I','400EE4','Motorplane','G-BYVG','VG','Y','Y'
'I','400EE5','Motorplane','G-BYVH','VH','Y','Y'
'I','400EE6','Motorplane','G-BYVI','VI','Y','Y'
'I','400EE7','Motorplane','G-BYVJ','VJ','Y','Y'
'I','400EE8','Motorplane','G-BYVK','VK','Y','Y'
'I','400EE9','Motorplane','G-BYVL','VL','Y','Y'
'I','400EEA','Motorplane','G-BYVM','VM','Y','Y'
'I','400EEC','Motorplane','G-BYVO','VO','Y','Y'
'I','400EED','Motorplane','G-BYVP','VP','Y','Y'
'I','400EEE','Motorplane','G-BYVR','VR','Y','Y'
'I','400EEF','Motorplane','G-BYVS','VS','Y','Y'
'I','400EF0','Motorplane','G-BYVT','VT','Y','Y'
'I','400EF1','Motorplane','G-BYVU','VU','Y','Y'
'I','400EF2','Motorplane','G-BYVV','VV','Y','Y'
'I','400EF3','Motorplane','G-BYVW','VW','Y','Y'
'I','400EF4','Motorplane','G-BYVX','VX','Y','Y'
'I','400EF5','Motorplane','G-BYVY','VY','Y','Y'
'I','400EF6','Motorplane','G-BYVZ','VZ','Y','Y'
